##,Player,GS,MIN,REB,PF,A,TO,BLK,STL,PTS,ORB,DRB,FG_pct,3PT_pct,FT_pct,Team,Date,Won
04,"04 Reese,Jalen",1,37,11,3,3,2,1,2,19,4,7,0.75,1,0.8571428571428571,Middlebury,2026-02-14,0
30,"30 Melson,David",1,40,9,2,3,2,0,1,14,1,8,0.4166666666666667,0.5,1,Middlebury,2026-02-14,0
01,"01 Stowell,Jack",1,40,5,2,1,2,1,2,13,1,4,0.2222222222222222,0,1,Middlebury,2026-02-14,0
12,"12 Keyhani,Garret",1,35,7,2,3,3,2,1,11,1,6,0.2857142857142857,0,0.75,Middlebury,2026-02-14,0
33,"33 Raub,Nate",1,30,4,2,0,2,1,1,8,1,3,0.2222222222222222,0,1,Middlebury,2026-02-14,0
24,"24 O'Reilly,Evan",0,13,2,0,0,0,0,0,8,0,2,0.375,0.2857142857142857,NA,Middlebury,2026-02-14,0
34,"34 Holmes,Will",0,3,0,0,0,1,0,1,0,0,0,0,0,NA,Middlebury,2026-02-14,0
13,"13 Kulenovic,Omar",0,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2026-02-14,0
00,"00 Walsh,Alister",0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2026-02-14,0
03,"03 Freishtat,Max",0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2026-02-14,0
05,"05 Murash,Max",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2026-02-14,0
22,"22 Ogundijo,Femi",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2026-02-14,0
TM,TM TEAM,0,0,9,0,0,2,0,0,0,6,3,NA,NA,NA,Middlebury,2026-02-14,0
,Totals,NA,200,47,13,10,14,5,8,73,14,33,0.36065573770491804,0.18181818181818182,0.9259259259259259,Middlebury,2026-02-14,0
02,"02 Flaks, Evan",1,21,3,4,3,1,0,2,9,0,3,0.3333333333333333,0.3333333333333333,NA,Hamilton,2026-02-14,1
05,"05 Urena, Oliver",1,14,3,1,1,2,0,0,9,1,2,0.6666666666666666,1,0.6666666666666666,Hamilton,2026-02-14,1
12,"12 Witherington, Edward",1,29,8,2,0,1,3,0,6,2,6,0.3333333333333333,0,NA,Hamilton,2026-02-14,1
13,"13 Newell, Mark",1,19,5,3,1,0,1,1,4,1,4,0.6666666666666666,NA,NA,Hamilton,2026-02-14,1
21,"21 McKersie, Jackson",1,12,1,1,1,1,0,0,0,0,1,0,NA,NA,Hamilton,2026-02-14,1
20,"20 Ducree, Dominick",0,26,1,3,2,0,0,1,13,0,1,0.23076923076923078,0.2727272727272727,0.8,Hamilton,2026-02-14,1
01,"01 Cwalina, Kuba",0,18,2,0,2,3,1,0,6,0,2,0.16666666666666666,0.2,NA,Hamilton,2026-02-14,1
15,"15 Fuerbacher, Justin",0,23,2,3,0,0,0,2,5,1,1,0.5,NA,1,Hamilton,2026-02-14,1
04,"04 Ramey, Sawyer",0,20,6,2,3,1,0,3,4,4,2,0.4,0,NA,Hamilton,2026-02-14,1
11,"11 Murray, Ian",0,15,3,2,0,4,0,1,2,0,3,0.2,0,NA,Hamilton,2026-02-14,1
31,"31 Morrison, Henry",0,1,0,0,0,0,0,0,2,0,0,NA,NA,1,Hamilton,2026-02-14,1
23,"23 Lee, Donovan",0,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,Hamilton,2026-02-14,1
TM,TM TEAM,0,0,6,0,0,0,0,0,0,5,1,NA,NA,NA,Hamilton,2026-02-14,1
,Totals,NA,200,40,21,13,13,5,10,60,14,26,0.3088235294117647,0.20588235294117646,0.7857142857142857,Hamilton,2026-02-14,1
15,"15 Hammond,Chris",1,34,12,2,1,2,0,2,17,3,9,0.6363636363636364,0.42857142857142855,NA,Middlebury,2026-02-13,0
