game_id,game_date,season,team_id,team_name,location,opponent_id,opponent_name,total_points,pace,fg_percentage,tov_percentage,ft_rate,off_efficiency
1,2025-12-06,2025-26,2,Middlebury,Home,1,Rochester (N.Y.),77,78,0.420,0.179,0.261,98.72
25,2024-11-16,2024-25,2,Middlebury,Away,51,Saint Joseph (CT),64,62,0.417,0.210,0.183,103.23
49,2023-11-11,2023-24,2,Middlebury,Home,51,Saint Joseph (CT),62,77,0.394,0.273,0.242,80.52
6,2025-12-28,2025-26,14,Middlebury College,Away,13,Wheaton College (MA),78,83,0.367,0.169,0.253,93.98
50,2023-11-14,2023-24,2,Middlebury,Away,53,Clark (MA),66,72,0.400,0.208,0.169,91.67
26,2024-11-20,2024-25,2,Middlebury,Home,53,Clark (MA),75,65,0.473,0.185,0.382,115.38
8,2025-11-20,2025-26,2,Middlebury,Home,18,Union (NY),73,71,0.397,0.127,0.096,102.82
51,2023-11-17,2023-24,2,Middlebury,Home,104,Redlands,58,83,0.304,0.205,0.232,69.88
11,2025-11-30,2025-26,2,Middlebury,Home,23,Rensselaer,81,64,0.473,0.125,0.382,126.56
52,2023-11-18,2023-24,2,Middlebury,Away,106,Wittenberg,73,64,0.448,0.109,0.414,114.06
6,2025-12-28,2025-26,13,Wheaton College (MA),Home,14,Middlebury College,82,83,0.453,0.157,0.281,98.80
12,2025-12-29,2025-26,26,Medgar Evers,Home,14,Middlebury College,47,75,0.262,0.120,0.154,62.67
12,2025-12-29,2025-26,14,Middlebury College,Away,26,Medgar Evers,91,77,0.432,0.169,0.324,118.18
29,2024-12-01,2024-25,2,Middlebury,Away,60,Endicott,88,71,0.458,0.127,0.208,123.94
53,2023-11-26,2023-24,2,Middlebury,Home,60,Endicott,90,76,0.449,0.145,0.167,118.42
13,2026-01-02,2025-26,2,Middlebury,Home,28,Lasell,102,80,0.596,0.238,0.421,127.50
14,2026-01-06,2025-26,2,Middlebury,Away,30,WPI,57,75,0.327,0.187,0.455,76.00
54,2023-11-28,2023-24,2,Middlebury,Away,61,New England Col.,80,65,0.516,0.154,0.145,123.08
30,2024-12-04,2024-25,2,Middlebury,Home,61,New England Col.,76,67,0.397,0.134,0.190,113.43
55,2023-12-02,2023-24,2,Middlebury,Home,111,Rochester (NY),58,73,0.433,0.219,0.100,79.45
56,2023-12-03,2023-24,2,Middlebury,Home,113,UChicago,64,67,0.385,0.119,0.092,95.52
57,2023-12-06,2023-24,2,Middlebury,Away,22,Plattsburgh St.,80,86,0.417,0.233,0.319,93.02
10,2025-11-25,2025-26,2,Middlebury,Away,22,Plattsburgh St.,92,76,0.493,0.145,0.333,121.05
28,2024-11-25,2024-25,2,Middlebury,Home,22,Plattsburgh St.,90,78,0.507,0.167,0.093,115.38
7,2025-11-14,2025-26,2,Middlebury,Away,15,Skidmore,87,77,0.433,0.117,0.373,112.99
58,2023-12-08,2023-24,2,Middlebury,Home,15,Skidmore,69,67,0.441,0.179,0.074,102.99
