game_id,game_date,season,team_id,team_name,location,opponent_id,opponent_name,total_points,points_allowed,offensive_possessions,defensive_possessions,pace,points_per_possession_off,points_allowed_per_possession_def,fg_percentage,three_percentage,efg_percentage,ts_percentage,tov_percentage,ft_rate,off_efficiency,defensive_rating,assist_rate,assist_percentage,three_point_attempt_rate,rebound_rate,fg_made,fg_attempted,three_ptrs_made,three_ptrs_attempted,ft_made,ft_attempted,turnovers,total_assists,total_rebounds,rebounds_offensive,rebounds_defensive,fouls_committed,fouls_drawn,steals,home_lineup_count,away_lineup_count
124,2026-02-07,2025-26,233,SUNY Morrisville,Home,18,Plattsburgh St.,98,100,90,91,90.5,1.0889,1.0989,0.4706,0.3871,0.5588,0.6101,0.1393,0.4118,108.89,109.89,0.2371,0.9063,0.4559,0.2099,32,68,12,31,22,28,13,29,38,6,32,24,19,5,25,7
124,2026-02-07,2025-26,18,Plattsburgh St.,Away,233,SUNY Morrisville,100,98,91,90,90.5,1.0989,1.0889,0.4359,0.16,0.4615,0.5379,0.1143,0.4359,109.89,108.889,0.1733,0.6471,0.3205,0.2486,34,78,4,25,28,34,12,22,45,17,28,19,24,8,25,7
125,2026-02-13,2025-26,221,Buffalo St.,Home,18,Plattsburgh St.,66,64,68,66,67,0.9706,0.9697,0.4107,0.3636,0.4821,0.5198,0.1477,0.3036,97.06,96.97,0.1858,0.7391,0.3929,0.2388,23,56,8,22,12,17,11,17,32,6,26,9,15,5,12,11
125,2026-02-13,2025-26,18,Plattsburgh St.,Away,221,Buffalo St.,64,66,66,68,67,0.9697,0.9706,0.3906,0.3043,0.4453,0.4739,0.1509,0.125,96.97,97.059,0.1846,0.72,0.3594,0.2761,25,64,7,23,7,8,12,18,37,12,25,15,9,6,12,11
126,2026-02-14,2025-26,217,Fredonia,Home,18,Plattsburgh St.,89,91,74,77,75.5,1.2027,1.1818,0.5873,0.5882,0.6667,0.6646,0.152,0.1429,120.27,118.182,0.2256,0.6216,0.2698,0.2185,37,63,10,17,5,9,12,23,33,6,27,17,10,4,14,10
126,2026-02-14,2025-26,18,Plattsburgh St.,Away,217,Fredonia,91,89,77,74,75.5,1.1818,1.2027,0.4789,0.3793,0.5563,0.5702,0.0477,0.2817,118.18,120.27,0.1768,0.5294,0.4085,0.1921,34,71,11,29,12,20,4,18,29,10,19,10,17,7,14,10
127,2026-02-20,2025-26,18,Plattsburgh St.,Home,240,SUNY New Paltz,79,80,85,84,84.5,0.9294,0.9524,0.3816,0.2143,0.4211,0.454,0.13,0.3289,92.94,95.238,0.0909,0.3448,0.3684,0.2722,29,76,6,28,15,25,13,10,46,15,31,14,25,6,14,19
127,2026-02-20,2025-26,240,SUNY New Paltz,Away,18,Plattsburgh St.,80,79,84,85,84.5,0.9524,0.9294,0.4478,0.3448,0.5224,0.5247,0.1644,0.3134,95.24,92.941,0.1076,0.3667,0.4328,0.2308,30,67,10,29,10,21,15,11,39,8,31,25,14,11,14,19
128,2026-02-21,2025-26,18,Plattsburgh St.,Home,237,SUNY Oneonta,77,92,71,74,72.5,1.0845,1.2432,0.5094,0.5238,0.6132,0.6366,0.1769,0.3208,108.45,124.324,0.1695,0.5556,0.3962,0.1448,27,53,11,21,12,17,13,15,21,4,17,20,13,2,11,9
128,2026-02-21,2025-26,237,SUNY Oneonta,Away,18,Plattsburgh St.,92,77,74,71,72.5,1.2432,1.0845,0.5246,0.5,0.6066,0.6389,0.1111,0.4098,124.32,108.451,0.1649,0.5,0.3279,0.2069,32,61,10,20,18,25,9,16,30,8,22,13,20,9,11,9
129,2026-02-24,2025-26,240,SUNY New Paltz,Home,18,Plattsburgh St.,88,95,94,92,93,0.9362,1.0326,0.4268,0.1923,0.4573,0.4869,0.1258,0.2317,93.62,103.261,0.0882,0.2857,0.3171,0.2097,35,82,5,26,13,19,13,10,39,13,26,26,17,10,14,9
129,2026-02-24,2025-26,18,Plattsburgh St.,Away,240,SUNY New Paltz,95,88,92,94,93,1.0326,0.9362,0.4706,0.3571,0.5441,0.5787,0.188,0.4706,103.26,93.617,0.1582,0.5938,0.4118,0.2419,32,68,10,28,21,32,19,19,45,11,34,17,26,7,14,9
130,2026-02-27,2025-26,235,Cortland,Home,247,Plattsburgh,96,71,72,68,70,1.3333,1.0441,0.5821,0.4167,0.6567,0.6764,0.1126,0.1343,133.33,104.412,0.208,0.5385,0.3582,0.2571,39,67,10,24,8,9,9,21,36,9,27,10,14,8,15,11
130,2026-02-27,2025-26,247,Plattsburgh,Away,235,Cortland,71,96,68,72,70,1.0441,1.3333,0.4444,0.5161,0.5926,0.6125,0.1832,0.1667,104.41,133.333,0.1648,0.5833,0.5741,0.1286,24,54,16,31,7,9,13,14,18,2,16,14,10,3,15,11
